Index	Label	Type	Name	ID	Integral [a.u.]	Area [pixel]	Bkg [a.u.]	Integral-Bkg [a.u.]	Integral/Area [a.u./pixel]	Integral/Area-Bkg [a.u./pixel]	Median [a.u.]	Median-Bkg [a.u.]	Normalized [%]	Normalized-Bkg [%]	Average [a.u.]	Average-Bkg [a.u.]	Average [%]	Average-Bkg [%]	Deviation [a.u.]	Deviation [%]	Deviation-Bkg [a.u.]	Deviation-Bkg [%]	Homogeneity [%]	Quality
1	1-1,1			184O13	1.0059204102	61	0.1680068970	0.8379135132	0.0164904985	0.0137362871	0.0143890381	0.0116348267	--	--	--	--	--	--	--	--	--	--	13.1	
2	1-1,2			181I1	0.8885498047	61	0.1200714111	0.7684783936	0.0145663902	0.0125980065	0.0135955811	0.0116271973	--	--	--	--	--	--	--	--	--	--	5.9	
3	1-1,3			177C14	1.0665435791	61	0.1228637695	0.9436798096	0.0174843210	0.0154701608	0.0155487061	0.0135345459	--	--	--	--	--	--	--	--	--	--	0.4	
4	1-1,4			emptywell	0.2398986816	61	0.1214675903	0.1184310913	0.0039327653	0.0019414933	0.0035247803	0.0015335083	--	--	--	--	--	--	--	--	--	--	2.8	
5	1-1,5			196H14	0.5744018555	61	0.1210021973	0.4533996582	0.0094164239	0.0074327813	0.0091247559	0.0071411133	--	--	--	--	--	--	--	--	--	--	30.8	
6	1-1,6			190H9	0.7456207275	61	0.1219329834	0.6236877441	0.0122232906	0.0102243892	0.0126647949	0.0106658936	--	--	--	--	--	--	--	--	--	--	4.1	
7	1-1,7			130L13	2.7759552002	61	0.1726608276	2.6032943726	0.0455074623	0.0426769569	0.0454406738	0.0426101685	--	--	--	--	--	--	--	--	--	--	4.1	
8	1-1,8			126G2	2.9209594727	61	0.1954650879	2.7254943848	0.0478845815	0.0446802358	0.0502929688	0.0470886230	--	--	--	--	--	--	--	--	--	--	1.7	
9	1-1,9			122O10	0.3652191162	61	0.1428756714	0.2223434448	0.0059871986	0.0036449745	0.0062103271	0.0038681030	--	--	--	--	--	--	--	--	--	--	3.0	
10	1-1,10			120K4	0.3927307129	61	0.1298446655	0.2628860474	0.0064382084	0.0043096073	0.0057525635	0.0036239624	--	--	--	--	--	--	--	--	--	--	10.5	
11	1-1,11			117F12	0.3871459961	61	0.1247253418	0.2624206543	0.0063466557	0.0043019779	0.0059051514	0.0038604736	--	--	--	--	--	--	--	--	--	--	6.7	
12	1-1,12			112O9	0.3767547607	61	0.1275177002	0.2492370605	0.0061763076	0.0040858535	0.0051269531	0.0030364990	--	--	--	--	--	--	--	--	--	--	8.7	
13	1-1,13			111J15	0.4145202637	61	0.1298446655	0.2846755981	0.0067954142	0.0046668131	0.0065002441	0.0043716431	--	--	--	--	--	--	--	--	--	--	10.6	
14	1-1,14			108C6	1.4300537109	61	0.1628875732	1.2671661377	0.0234435035	0.0207732154	0.0212860107	0.0186157227	--	--	--	--	--	--	--	--	--	--	17.1	
15	1-1,15			104P12	0.3628082275	61	0.1982574463	0.1645507812	0.0059476759	0.0026975538	0.0054473877	0.0021972656	--	--	--	--	--	--	--	--	--	--	27.9	
16	1-1,16			100H5	0.7217559814	61	0.1321716309	0.5895843506	0.0118320653	0.0096653172	0.0107269287	0.0085601807	--	--	--	--	--	--	--	--	--	--	4.7	
17	1-1,17			84P3	1.1327819824	61	0.1563720703	0.9764099121	0.0185701964	0.0160067199	0.0164947510	0.0139312744	--	--	--	--	--	--	--	--	--	--	3.6	
18	1-1,18			71N2	3.3751831055	61	0.1638183594	3.2113647461	0.0553308706	0.0526453237	0.0555877686	0.0529022217	--	--	--	--	--	--	--	--	--	--	1.3	
19	1-1,19			62J11	1.9313964844	61	0.1503219604	1.7810745239	0.0316622374	0.0291979430	0.0301971436	0.0277328491	--	--	--	--	--	--	--	--	--	--	3.0	
20	1-1,20			33O2	0.5791778564	61	0.1833648682	0.3958129883	0.0094947190	0.0064887375	0.0081787109	0.0051727295	--	--	--	--	--	--	--	--	--	--	6.6	
21	1-1,21			18H14	3.7062683105	61	0.1307754517	3.5754928589	0.0607584969	0.0586146370	0.0595397949	0.0573959351	--	--	--	--	--	--	--	--	--	--	6.5	
22	1-1,22			8L3	1.5207214355	61	0.1349639893	1.3857574463	0.0249298596	0.0227173352	0.0242156982	0.0220031738	--	--	--	--	--	--	--	--	--	--	1.1	
23	1-2,1			184O20	5.1418914795	61	0.1372909546	5.0046005249	0.0842933029	0.0820426316	0.0823822021	0.0801315308	--	--	--	--	--	--	--	--	--	--	0.7	
24	1-2,2			181L7	0.9144744873	61	0.1037826538	0.8106918335	0.0149913850	0.0132900301	0.0140380859	0.0123367310	--	--	--	--	--	--	--	--	--	--	9.8	
25	1-2,3			176P17	4.1412506104	61	0.1126251221	4.0286254883	0.0678893543	0.0660430408	0.0655517578	0.0637054443	--	--	--	--	--	--	--	--	--	--	11.8	
26	1-2,4			emptywell	3.2590942383	61	0.1507873535	3.1083068848	0.0534277744	0.0509558506	0.0496368408	0.0471649170	--	--	--	--	--	--	--	--	--	--	3.0	
27	1-2,5			196H20	0.3321533203	61	0.1424102783	0.1897430420	0.0054451364	0.0031105417	0.0051727295	0.0028381348	--	--	--	--	--	--	--	--	--	--	15.5	
28	1-2,6			164C7	1.5344085693	61	0.1163482666	1.4180603027	0.0251542388	0.0232468902	0.0247802734	0.0228729248	--	--	--	--	--	--	--	--	--	--	13.2	
29	1-2,7			130K20	0.6317443848	61	0.1144866943	0.5172576904	0.0103564653	0.0084796343	0.0102691650	0.0083923340	--	--	--	--	--	--	--	--	--	--	7.4	
30	1-2,8			126H8	0.4895477295	61	0.1275177002	0.3620300293	0.0080253726	0.0059349185	0.0077819824	0.0056915283	--	--	--	--	--	--	--	--	--	--	19.0	
31	1-2,9			122G20	0.8339538574	61	0.1154174805	0.7185363770	0.0136713747	0.0117792849	0.0139465332	0.0120544434	--	--	--	--	--	--	--	--	--	--	8.4	
32	1-2,10			120K7	0.3623199463	61	0.1293792725	0.2329406738	0.0059396713	0.0038186996	0.0059051514	0.0037841797	--	--	--	--	--	--	--	--	--	--	23.5	
33	1-2,11			116C17	0.4964752197	61	0.1479949951	0.3484802246	0.0081389380	0.0057127906	0.0075378418	0.0051116943	--	--	--	--	--	--	--	--	--	--	3.2	
34	1-2,12			112O8	0.5422821045	61	0.1386871338	0.4035949707	0.0088898706	0.0066163110	0.0086364746	0.0063629150	--	--	--	--	--	--	--	--	--	--	4.2	
35	1-2,13			111J21	0.5349731445	61	0.1982574463	0.3367156982	0.0087700515	0.0055199295	0.0090179443	0.0057678223	--	--	--	--	--	--	--	--	--	--	10.4	
36	1-2,14			107C7	0.3070831299	61	0.2112884521	0.0957946777	0.0050341497	0.0015704046	0.0046081543	0.0011444092	--	--	--	--	--	--	--	--	--	--	51.1	
37	1-2,15			104K20	0.6183013916	61	0.1358947754	0.4824066162	0.0101360884	0.0079083052	0.0103759766	0.0081481934	--	--	--	--	--	--	--	--	--	--	26.7	
38	1-2,16			100G14	0.7925720215	61	0.1303100586	0.6622619629	0.0129929840	0.0108567535	0.0133361816	0.0111999512	--	--	--	--	--	--	--	--	--	--	3.7	
39	1-2,17			82M20	0.6092987061	61	0.1293792725	0.4799194336	0.0099885034	0.0078675317	0.0099792480	0.0078582764	--	--	--	--	--	--	--	--	--	--	1.9	
40	1-2,18			71L14	3.1788330078	61	0.1284484863	3.0503845215	0.0521120165	0.0500063036	0.0538177490	0.0517120361	--	--	--	--	--	--	--	--	--	--	6.0	
41	1-2,19			62E23	0.9493865967	61	0.1507873535	0.7985992432	0.0155637147	0.0130917909	0.0099639893	0.0074920654	--	--	--	--	--	--	--	--	--	--	60.1	sd.
42	1-2,20			33L4	3.2074737549	61	0.1573028564	3.0501708984	0.0525815370	0.0500028016	0.0490264893	0.0464477539	--	--	--	--	--	--	--	--	--	--	4.2	
43	1-2,21			21I19	2.6327209473	61	0.1237945557	2.5089263916	0.0431593598	0.0411299408	0.0418548584	0.0398254395	--	--	--	--	--	--	--	--	--	--	1.6	
44	1-2,22			8K8	1.5102386475	61	0.1424102783	1.3678283691	0.0247580106	0.0224234159	0.0246887207	0.0223541260	--	--	--	--	--	--	--	--	--	--	6.5	
45	1-3,1			187C13	1.8230895996	61	0.1130905151	1.7099990845	0.0298867147	0.0280327719	0.0303039551	0.0284500122	--	--	--	--	--	--	--	--	--	--	4.9	
46	1-3,2			181I13	0.3994293213	61	0.0777206421	0.3217086792	0.0065480217	0.0052739128	0.0061187744	0.0048446655	--	--	--	--	--	--	--	--	--	--	9.9	
47	1-3,3			176G1	1.2650299072	61	0.0874938965	1.1775360107	0.0207381952	0.0193038690	0.0203857422	0.0189514160	--	--	--	--	--	--	--	--	--	--	6.8	
48	1-3,4			emptywell	0.3743133545	61	0.1456680298	0.2286453247	0.0061362845	0.0037482840	0.0059661865	0.0035781860	--	--	--	--	--	--	--	--	--	--	15.1	
49	1-3,5			196L2	0.5481109619	61	0.1563720703	0.3917388916	0.0089854256	0.0064219490	0.0085296631	0.0059661865	--	--	--	--	--	--	--	--	--	--	1.9	
50	1-3,6			190C18	4.4247131348	61	0.1219329834	4.3027801514	0.0725362809	0.0705373795	0.0694427490	0.0674438477	--	--	--	--	--	--	--	--	--	--	0.6	
51	1-3,7			131E13	0.9084167480	61	0.0949401855	0.8134765625	0.0148920778	0.0133356814	0.0144958496	0.0129394531	--	--	--	--	--	--	--	--	--	--	6.7	
52	1-3,8			126G14	0.3501739502	61	0.1200714111	0.2301025391	0.0057405566	0.0037721728	0.0054779053	0.0035095215	--	--	--	--	--	--	--	--	--	--	2.8	
53	1-3,9			124C18	0.3846588135	61	0.1116943359	0.2729644775	0.0063058822	0.0044748275	0.0054168701	0.0035858154	--	--	--	--	--	--	--	--	--	--	36.3	
54	1-3,10			119K14	0.3444213867	61	0.0930786133	0.2513427734	0.0056462522	0.0041203733	0.0053558350	0.0038299561	--	--	--	--	--	--	--	--	--	--	0.3	
55	1-3,11			116H2	0.5159912109	61	0.1061096191	0.4098815918	0.0084588723	0.0067193704	0.0081024170	0.0063629150	--	--	--	--	--	--	--	--	--	--	7.5	
56	1-3,12			112O14	2.6608428955	61	0.1419448853	2.5188980103	0.0436203753	0.0412934100	0.0435791016	0.0412521362	--	--	--	--	--	--	--	--	--	--	0.5	
57	1-3,13			110G1	0.3166351318	61	0.1279830933	0.1886520386	0.0051907399	0.0030926564	0.0049438477	0.0028457642	--	--	--	--	--	--	--	--	--	--	13.0	
58	1-3,14			108A14	0.3306884766	61	0.1475296021	0.1831588745	0.0054211226	0.0030026045	0.0048065186	0.0023880005	--	--	--	--	--	--	--	--	--	--	28.1	
59	1-3,15			104O2	0.4425048828	61	0.1344985962	0.3080062866	0.0072541784	0.0050492834	0.0072631836	0.0050582886	--	--	--	--	--	--	--	--	--	--	7.2	
60	1-3,16			98G13	0.6547851562	61	0.1442718506	0.5105133057	0.0107341829	0.0083690706	0.0107421875	0.0083770752	--	--	--	--	--	--	--	--	--	--	46.8	
61	1-3,17			91M15	1.3988189697	61	0.1554412842	1.2433776855	0.0229314585	0.0203832407	0.0235137939	0.0209655762	--	--	--	--	--	--	--	--	--	--	7.1	
62	1-3,18			72L13	1.4512481689	61	0.1205368042	1.3307113647	0.0237909536	0.0218149404	0.0124511719	0.0104751587	--	--	--	--	--	--	--	--	--	--	28.9	sd.
63	1-3,19			62F3	0.6765441895	61	0.0791168213	0.5974273682	0.0110908884	0.0097938913	0.0107879639	0.0094909668	--	--	--	--	--	--	--	--	--	--	7.1	
64	1-3,20			33M13	5.8306884766	61	0.1210021973	5.7096862793	0.0955850570	0.0936014144	0.0977935791	0.0958099365	--	--	--	--	--	--	--	--	--	--	8.6	
