Index	Label	Type	Name	ID	Integral [QL]	Area [pixel]	Bkg [QL]	Integral-Bkg [QL]	Integral/Area [QL/mm²]	Integral/Area-Bkg [QL/mm²]	Median [QL]	Median-Bkg [QL]	Normalized [%]	Normalized-Bkg [%]	Average [QL]	Average-Bkg [QL]	Average [%]	Average-Bkg [%]	Deviation [QL]	Deviation [%]	Deviation-Bkg [QL]	Deviation-Bkg [%]	Homogeneity [%]	Quality
1	1-1,1			146O3	153688.0	208	28808.0	124880.0	7388846.2	6003846.2	335.0	196.5	--	--	--	--	--	--	--	--	--	--	1.1	
2	1-1,2			196L2	69359.0	208	36296.0	33063.0	3334567.3	1589567.3	245.0	70.5	--	--	--	--	--	--	--	--	--	--	32.8	
3	1-1,3			187E6	101963.0	208	40352.0	61611.0	4902067.3	2962067.3	255.0	61.0	--	--	--	--	--	--	--	--	--	--	62.8	
4	1-1,4			181L6	159590.0	208	38272.0	121318.0	7672596.2	5832596.2	527.5	343.5	--	--	--	--	--	--	--	--	--	--	30.0	
5	1-1,5			198M4	73994.0	208	37336.0	36658.0	3557403.8	1762403.8	256.5	77.0	--	--	--	--	--	--	--	--	--	--	35.5	
6	1-1,6			190H9	78674.0	208	37752.0	40922.0	3782403.8	1967403.8	275.0	93.5	--	--	--	--	--	--	--	--	--	--	51.8	
7	1-1,7			9M14	102355.0	208	22360.0	79995.0	4920913.5	3845913.5	199.5	92.0	--	--	--	--	--	--	--	--	--	--	20.8	
8	1-1,8			104G2	35060.0	208	30576.0	4484.0	1685576.9	215576.9	141.0	-6.0	--	--	--	--	--	--	--	--	--	--	61.0	
9	1-1,9			122O10	39493.0	208	25584.0	13909.0	1898701.9	668701.9	161.5	38.5	--	--	--	--	--	--	--	--	--	--	58.6	
10	1-1,10			185K14	92912.0	208	15808.0	77104.0	4466923.1	3706923.1	184.0	108.0	--	--	--	--	--	--	--	--	--	--	33.8	sd.
11	1-1,11			126M21	41910.0	208	21632.0	20278.0	2014903.8	974903.8	112.5	8.5	--	--	--	--	--	--	--	--	--	--	28.7	
12	1-1,12			119P1	35163.0	208	15288.0	19875.0	1690528.8	955528.8	154.5	81.0	--	--	--	--	--	--	--	--	--	--	24.6	
13	1-1,13			32I4	318425.0	208	13936.0	304489.0	15308894.2	14638894.2	729.5	662.5	--	--	--	--	--	--	--	--	--	--	8.6	
14	1-1,14			105D1	71284.0	208	21216.0	50068.0	3427115.4	2407115.4	181.5	79.5	--	--	--	--	--	--	--	--	--	--	18.6	
15	1-1,15			108K15	72526.0	208	26624.0	45902.0	3486826.9	2206826.9	210.0	82.0	--	--	--	--	--	--	--	--	--	--	31.9	
16	1-1,16			100H5	89130.0	208	18720.0	70410.0	4285096.2	3385096.2	196.5	106.5	--	--	--	--	--	--	--	--	--	--	45.8	
17	1-1,17			62F1	84841.0	208	18304.0	66537.0	4078894.2	3198894.2	393.5	305.5	--	--	--	--	--	--	--	--	--	--	8.5	
18	1-1,18			112K2	186197.0	208	16640.0	169557.0	8951778.8	8151778.8	623.0	543.0	--	--	--	--	--	--	--	--	--	--	8.7	
19	1-1,19			177C14	98699.0	208	26000.0	72699.0	4745144.2	3495144.2	318.0	193.0	--	--	--	--	--	--	--	--	--	--	28.6	
20	1-1,20			92O1	300802.0	208	27664.0	273138.0	14461634.6	13131634.6	894.5	761.5	--	--	--	--	--	--	--	--	--	--	11.3	
21	1-1,21			124G14	31311.0	208	37128.0	-5817.0	1505336.5	-279663.5	136.0	-42.5	--	--	--	--	--	--	--	--	--	--	59.7	
22	1-1,22			169A1	118940.0	208	32552.0	86388.0	5718269.2	4153269.2	379.5	223.0	--	--	--	--	--	--	--	--	--	--	23.7	
