HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
SPOT	1	1	52	164	66	178	1	1	295	195	199	1169	1272	1289	156	1152	0	-1.03	1.414	0.9984	0.493	3.339	0.6474	0.3654	0.359	0.05128	0.003203	0.005241	1	0.3043	1.014E-11	0.2501	4.706E-08
SPOT	2	1	52	181	66	195	1	2	886	200	207	3365	1267	1287	156	966	0	3.058	3.012	2.859	0.937	3.216	0.7308	0.7179	0.5385	0.5256	-0.005133	0.005978	0	0.5023	1.619E-30	0.5153	4.256E-32
SPOT	3	1	52	199	66	213	1	3	1432	206	217	7878	1267	1287	156	958	0	5.392	5.463	0	0	0.1392	0.8269	0.8846	0.609	0.6282	-0.002629	0.00428	0	0.5456	6.834E-36	0.6237	0.000E+00
SPOT	4	1	52	216	66	230	1	4	3692	215	229	2588	1318	1349	156	964	0	0.3653	0.3932	0.3825	0.7563	0.4226	0.8974	0.7179	0.6667	0.4679	0.007471	0.005434	0	0.6033	7.847E-44	0.4536	5.848E-25
SPOT	5	1	52	234	66	248	1	5	2491	216	230	7698	1327	1347	156	992	0	2.8	2.992	0	0	3.73	0.9103	0.9038	0.6859	0.6346	-0.008377	0.00311	0	0.625	0.000E+00	0.624	0.000E+00
SPOT	6	1	52	252	66	266	1	6	1067	204	210	2566	1244	1255	156	988	0	1.532	1.691	1.356	0.899	1.577	0.7692	0.7821	0.5833	0.5128	-0.004199	0.009443	0	0.524	2.847E-33	0.5078	2.841E-31
SPOT	7	1	52	269	66	283	1	7	224	199	208	1074	1192	1216	156	995	0	-4.72	1.754	0.8493	0.3822	4.605	0.4551	0.3205	0.09615	0.02564	-5.575E-6	-0.004258	1	0.1083	7.868E-02	0.2488	7.725E-08
SPOT	8	1	52	287	66	301	1	8	579	203	212	1932	1211	1225	156	988	0	1.918	2.121	1.507	0.8454	1.953	0.8013	0.7949	0.5192	0.4295	-0.005714	0.002384	0	0.4494	1.373E-24	0.4372	2.668E-23
SPOT	9	1	52	304	66	318	1	9	1649	200	207	1492	1200	1207	156	985	0	0.2015	0.1796	0.1238	0.2982	0.1472	0.7692	0.6731	0.5769	0.1667	0.01493	-0.009926	0	0.5286	7.706E-34	0.2408	2.314E-07
SPOT	10	1	52	322	66	336	1	10	2643	200	206	1501	1147	1159	156	1000	0	0.1449	0.1963	0.1271	0.6885	0.1295	0.8205	0.75	0.6282	0.2821	0.0135	-0.004528	0	0.5676	4.972E-39	0.344	1.317E-14
SPOT	11	1	53	340	67	354	1	11	1119	199	205	1471	1119	1123	156	958	0	0.3826	0.3753	0.3676	0.6072	0.4594	0.7821	0.6923	0.5769	0.2692	0.001007	-0.002726	0	0.5335	2.427E-34	0.3366	6.386E-14
SPOT	12	1	53	357	67	371	1	12	1712	194	202	3274	1007	1030	156	966	0	1.493	1.573	1.246	0.8975	1.44	0.8077	0.8333	0.609	0.5833	0.01856	-0.004922	0	0.5622	3.941E-38	0.5506	1.393E-36
SPOT	13	1	53	375	67	389	1	13	2688	195	203	2963	993	1014	156	968	0	0.7902	0.8367	0.6803	0.9109	0.7265	0.7885	0.8205	0.6474	0.5513	0.01696	-0.003857	0	0.5821	7.413E-41	0.5217	6.671E-33
SPOT	14	1	53	392	67	406	1	14	1841	199	207	2278	1025	1036	156	976	0	0.7631	0.9752	0.5708	0.8257	0.643	0.8846	0.9103	0.6538	0.5513	0.02371	0.000577	0	0.5754	5.615E-40	0.5437	9.660E-36
SPOT	15	1	53	410	67	424	1	15	1744	196	205	1446	1010	1031	156	1009	0	0.2817	0.3058	0.1994	0.6421	0.2109	0.8782	0.7179	0.6795	0.4808	0.03075	0.005627	0	0.6078	9.809E-45	0.4394	1.381E-23
SPOT	16	1	53	428	67	442	1	16	1450	193	203	1199	951	982	156	988	0	0.1973	0.2178	0.1596	0.6132	0.1667	0.7436	0.7885	0.6026	0.2372	0.00153	-0.01054	0	0.5246	2.342E-33	0.2989	4.075E-11
SPOT	17	1	53	445	67	459	1	17	3189	183	191	4017	843	895	156	985	0	1.056	1.091	0	0	0.3489	0.7885	0.7756	0.641	0.5641	0.03088	-0.0001729	0	0.5705	2.407E-39	0.5088	2.211E-31
SPOT	18	1	53	463	67	477	1	18	2652	181	186	2382	774	802	156	988	0	0.6507	0.6712	0.5863	0.8885	0.6284	0.7821	0.7692	0.6154	0.5577	0.01966	0.005963	0	0.5624	2.851E-38	0.5047	6.626E-31
SPOT	19	1	53	480	67	494	1	19	3581	179	187	2000	722	752	156	985	0	0.3757	0.4278	0.2748	0.8543	0.2823	0.891	0.9038	0.7115	0.6667	0.02863	0.01047	0	0.6352	0.000E+00	0.6114	4.204E-45
SPOT	20	1	54	498	68	512	1	20	682	179	191	1012	686	706	156	980	0	0.6481	0.6966	0.4799	0.6899	0.6011	0.7821	0.7564	0.5641	0.4744	0.0049	0.001419	0	0.4695	8.932E-27	0.4076	2.793E-20
