HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
REMARK	SOFTWARE	ScanAlyze
REMARK	SOFTVERS	2.30
REMARK	CH1 IMAGE	lc7b048_532 nm
REMARK	CH2 IMAGE	lc7b048_635 nm
REMARK	GRID FILE	..\..\AshGrids\lc7b048flagged.SAG
REMARK	DATE	8/28/99
REMARK	TIME	11:30:54 AM
SPOT	1	1	63	94	77	108	1	1	543	216	232	651	353	367	156	1182	0	0.9113	0.9738	0.7622	0.8939	0.8364	0.6346	0.6987	0.3782	0.3782	0.0006138	0.002616	0	0.2905	9.384E-11	0.2808	4.516E-10
SPOT	2	1	63	113	77	127	1	2	1577	218	235	2365	372	390	156	945	0	1.467	1.508	1.308	0.9401	1.42	0.8013	0.7756	0.6154	0.5769	0.004123	-0.00152	0	0.5048	9.886E-31	0.4991	4.735E-30
SPOT	3	1	63	130	77	144	1	3	2431	209	221	678	369	388	156	929	0	0.1391	0.1439	0.1152	0.6909	0.1171	0.7756	0.7115	0.609	0.5	0.0005195	-0.00222	0	0.5384	8.142E-35	0.4301	2.253E-22
SPOT	4	1	63	148	77	162	1	4	4566	196	208	1134	348	363	156	931	0	0.1799	0.189	0	0	2.184	0.8077	0.7756	0.6923	0.6218	-0.004536	-0.01005	0	0.583	9.398E-41	0.5413	3.352E-35
SPOT	5	1	63	165	77	179	1	5	7701	192	201	15902	333	348	156	929	0	2.073	2.069	0	0	2.194	0.8654	0.9231	0.7179	0.7436	-0.004283	-0.02484	0	0.6152	2.803E-45	0.6887	0.000E+00
SPOT	6	1	63	183	77	197	1	6	1949	189	196	2110	328	341	156	912	0	1.012	1.011	0.8856	0.9075	0.9737	0.8013	0.8205	0.641	0.5897	-0.0004662	-0.02125	0	0.5464	9.500E-36	0.5473	7.205E-36
SPOT	7	1	63	200	77	214	1	7	347	186	196	432	321	329	156	914	0	0.6894	0.9756	0.6494	0.8065	0.7665	0.609	0.4936	0.2692	0.2115	-0.002942	0.001251	0	0.1578	2.266E-03	0.1528	3.458E-03
SPOT	8	1	62	218	76	232	1	8	970	185	197	947	323	337	156	932	0	0.7949	0.7983	0.6402	0.7896	0.7672	0.7692	0.7308	0.5833	0.5577	-0.004337	0.004686	0	0.4657	3.592E-26	0.4881	1.055E-28
SPOT	9	1	62	235	76	249	1	9	2368	184	194	1043	324	335	156	929	0	0.3292	0.3247	0.2537	0.7568	0.266	0.7885	0.7436	0.6218	0.5833	0.001039	-0.002632	0	0.5405	4.379E-35	0.5274	2.034E-33
SPOT	10	1	62	253	76	267	1	10	3933	181	191	1456	315	330	156	932	0	0.3041	0.2289	0	0	3.151	0.8846	0.8205	0.6923	0.5962	-0.0003554	-0.01448	0	0.5577	2.458E-37	0.5384	7.804E-35
SPOT	11	1	62	270	76	284	1	11	2028	183	191	1009	307	321	156	929	0	0.3805	0.3381	0.2915	0.6532	0.3258	0.8462	0.8077	0.6474	0.6154	0.007347	-0.006331	0	0.5682	1.011E-38	0.5365	1.421E-34
SPOT	12	1	62	288	76	302	1	12	2380	188	198	4932	333	349	156	932	0	2.098	2.152	0	0	0.7134	0.8846	0.8462	0.6731	0.6538	0.00356	-0.001218	0	0.5647	2.810E-38	0.5726	2.414E-39
SPOT	13	1	62	305	76	319	1	13	4334	200	209	3009	353	368	156	929	0	0.6425	0.6464	0	0	1.823	0.8718	0.8462	0.6859	0.6282	-0.002611	-0.003217	0	0.5746	1.346E-39	0.5661	1.912E-38
